0,5,1.8066794,['Target'],475266,,,MeanRT participant 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2.1644698,['Target'],475266,,,MeanRT participant 2,,,,5 distractors,10 distractors,total data set,,,,,,,,,,,,,,,,trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,participant,,2,10,1.4460495,['Target'],475266
114,5,1.9003151,['Target'],475266,,,,,,,,,,,107,5,1.6484354,['Target'],475266,,,,,,,,,,29,5,1.1911381,['Target'],682694,,21,10,1.34666,['Target'],682694
115,5,2.1542094,['Target'],475266,,,,,,,,,,,108,10,1.8087694,['Target'],475266,,,,,,,,,,33,5,1.4457452,['Target'],682694,,22,10,2.0963285,['Target'],682694
116,10,1.5797427,['Target'],475266,,,,,,,,,,,109,5,1.2366401,['Target'],475266,,,,,,,,,,35,5,1.3337659,['Target'],682694,,27,10,1.5424561,['Target'],682694
117,10,2.0268696,['Target'],475266,,,,,,,,,,,110,10,2.5714048,['Target'],475266,,,,,,,,,,36,5,1.4124538,['Target'],682694,,28,10,1.0981718,['Target'],682694
118,10,1.5238641,['Target'],475266,,,,,,,,,,,111,10,2.9111072,['Target'],475266,,,,,,,,,,41,5,1.2504143,['Target'],682694,,30,10,1.9958623,['Target'],682694
119,10,3.0770307,['Target'],475266,,,,,,,,,,,112,5,2.0315325,['Target'],475266,,,,,,,,,,44,5,2.1324432,['Target'],682694,,31,10,1.5600036,['Target'],682694
120,5,1.6991075,['Target'],475266,,,,,,,,,,,113,5,1.4841894,['Target'],475266,,,,,,,,,,45,5,1.2362911,['Target'],682694,,32,10,1.5463864,['Target'],682694
121,5,1.634462,['Target'],475266,,,,,,,,,,,114,5,1.9003151,['Target'],475266,,,,,,,,,,50,5,1.3914422,['Target'],682694,,34,10,1.8528131,['Target'],682694
122,10,1.3941631,['Target'],475266,,,,,,,,,,,115,5,2.1542094,['Target'],475266,,,,,,,,,,52,5,1.0432406,['Target'],682694,,37,10,1.3270539,['Target'],682694
123,5,1.9412058,['Target'],475266,,,,,,,,,,,116,10,1.5797427,['Target'],475266,,,,,,,,,,55,5,1.7500478,['Target'],682694,,38,10,1.4627592,['Target'],682694
124,10,2.3052711,['Target'],475266,,,,,,,,,,,117,10,2.0268696,['Target'],475266,,,,,,,,,,58,5,1.4403294,['Target'],682694,,39,10,1.1668759,['Target'],682694
125,5,1.7481883,['Target'],475266,,,,,,,,,,,118,10,1.5238641,['Target'],475266,,,,,,,,,,59,5,2.0937261,['Target'],682694,,40,10,1.1305846,['Target'],682694
126,10,2.2073137,['Target'],475266,,,,,,,,,,,119,10,3.0770307,['Target'],475266,,,,,,,,,,61,5,1.8158755,['Target'],682694,,42,10,1.1916505,['Target'],682694
127,10,1.9386006,['Target'],475266,,,,,,,,,,,120,5,1.6991075,['Target'],475266,,,,,,,,,,62,5,0.8787381,['Target'],682694,,43,10,2.7562178,['Target'],682694
128,5,1.5504787,['Target'],475266,,,,,,,,,,,121,5,1.634462,['Target'],475266,,,,,,,,,,63,5,1.7030266,['Target'],682694,,46,10,1.2699557,['Target'],682694
129,10,1.6245173,['Target'],475266,,,,,,,,,,,122,10,1.3941631,['Target'],475266,,,,,,,,,,68,5,1.0662176,['Target'],682694,,47,10,1.0306896,['Target'],682694
130,5,2.0726837,['Target'],475266,,,,,,,,,,,123,5,1.9412058,['Target'],475266,,,,,,,,,,69,5,1.5782405,['Target'],682694,,48,10,1.1308444,['Target'],682694
131,10,1.9887537,['Target'],475266,,,,,,,,,,,124,10,2.3052711,['Target'],475266,,,,,,,,,,70,5,1.3695163,['Target'],682694,,49,10,2.6932045,['Target'],682694
132,10,1.2756873,['Target'],475266,,,,,,,,,,,125,5,1.7481883,['Target'],475266,,,,,,,,,,72,5,1.0492387,['Target'],682694,,51,10,1.7499726,['Target'],682694
133,10,2.2721302,['Target'],475266,,,,,,,,,,,126,10,2.2073137,['Target'],475266,,,,,,,,,,74,5,1.75126,['Target'],682694,,53,10,1.4545511,['Target'],682694
134,5,1.8331847,['Target'],475266,,,,,,,,,,,127,10,1.9386006,['Target'],475266,,,,,,,,,,75,5,1.3867023,['Target'],682694,,54,10,2.3318836,['Target'],682694
135,10,1.9149665,['Target'],475266,,,,,,,,,,,128,5,1.5504787,['Target'],475266,,,,,,,,,,78,5,1.2170239,['Target'],682694,,56,10,1.836862,['Target'],682694
136,5,1.54232,['Target'],475266,,,,,,,,,,,129,10,1.6245173,['Target'],475266,,,,,,,,,,79,5,1.2573274,['Target'],682694,,57,10,1.475954,['Target'],682694
137,10,2.0694818,['Target'],475266,,,,,,,,,,,130,5,2.0726837,['Target'],475266,,,,,,,,,,87,5,1.2685198,['Target'],682694,,60,10,1.921498,['Target'],682694
138,5,1.6469282,['Target'],475266,,,,,,,,,,,131,10,1.9887537,['Target'],475266,,,,,,,,,,88,5,3.1297877,['Target'],682694,,64,10,1.6592471,['Target'],682694
139,5,1.5184417,['Target'],475266,,,,,,,,,,,132,10,1.2756873,['Target'],475266,,,,,,,,,,89,5,2.005982,['Target'],682694,,65,10,1.0398322,['Target'],682694
140,5,1.8993422,['Target'],475266,,,,,,,,,,,133,10,2.2721302,['Target'],475266,,,,,,,,,,90,5,1.7325491,['Target'],682694,,66,10,1.2599027,['Target'],682694
141,5,2.1617693,['Target'],475266,,,,,,,,,,,134,5,1.8331847,['Target'],475266,,,,,,,,,,92,5,1.7156147,['Target'],682694,,67,10,1.8852027,['Target'],682694
142,10,1.4996718,['Target'],475266,,,,,,,,,,,135,10,1.9149665,['Target'],475266,,,,,,,,,,93,5,1.0471239,['Target'],682694,,71,10,1.7937894,['Target'],682694
143,10,2.4599393,['Target'],475266,,,,,,,,,,,136,5,1.54232,['Target'],475266,,,,,,,,,,98,5,1.7667678,['Target'],682694,,73,10,1.6107021,['Target'],682694
